                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.59886,                0.33867,                0.87127,                 0.6452,                0.87463,                 0.8592,                0.70074,                 0.8523,                0.83631,                 1.0155,              0.0003005,              0.0003005,              0.0003005
                    106,                0.58959,                 0.3306,                0.86192,                0.63301,                0.91134,                0.87296,                0.70567,                0.87059,                0.84282,                 1.0226,               0.000284,               0.000284,               0.000284
                    107,                 0.5487,                0.31721,                0.85412,                0.63667,                0.91642,                0.87959,                0.71663,                0.85455,                0.84885,                 1.0268,              0.0002675,              0.0002675,              0.0002675
                    108,                0.55266,                0.31342,                0.86266,                0.62974,                0.92537,                0.87782,                0.71758,                0.84332,                  0.855,                 1.0215,               0.000251,               0.000251,               0.000251
                    109,                0.58421,                 0.3339,                0.86756,                0.62262,                0.91343,                0.86855,                0.71276,                0.84785,                0.85612,                 1.0256,              0.0002345,              0.0002345,              0.0002345
                    110,                0.54583,                0.31709,                0.85376,                0.62925,                0.92208,                 0.8599,                0.70487,                0.84383,                0.86244,                 1.0343,               0.000218,               0.000218,               0.000218
                    111,                0.54449,                0.30815,                0.84502,                0.63097,                0.92379,                0.85258,                0.70016,                0.84539,                0.88159,                 1.0431,              0.0002015,              0.0002015,              0.0002015
                    112,                0.52313,                0.29506,                0.84465,                0.62751,                 0.9194,                0.84498,                0.69079,                0.86772,                0.86181,                 1.0552,               0.000185,               0.000185,               0.000185
                    113,                0.51884,                0.29028,                 0.8401,                0.62697,                0.91311,                0.83925,                0.68383,                0.85722,                0.84855,                 1.0565,              0.0001685,              0.0001685,              0.0001685
                    114,                0.51486,                 0.2897,                0.84082,                0.62891,                0.90149,                0.83367,                0.68328,                0.85605,                0.86286,                  1.056,               0.000152,               0.000152,               0.000152
                    115,                0.51108,                 0.2871,                0.84168,                0.62974,                0.90149,                0.83274,                 0.6812,                0.86652,                0.88789,                 1.0562,              0.0001355,              0.0001355,              0.0001355
                    116,                0.51445,                0.28931,                0.83959,                0.62852,                0.89552,                0.83446,                0.68252,                 0.8701,                0.90297,                 1.0552,               0.000119,               0.000119,               0.000119
                    117,                0.52049,                0.28943,                0.83874,                0.63078,                0.90149,                0.83399,                0.68557,                 0.8683,                0.88936,                 1.0574,              0.0001025,              0.0001025,              0.0001025
                    118,                0.50668,                0.27778,                0.83688,                0.63024,                0.90565,                0.83733,                0.68815,                0.86764,                0.87631,                 1.0554,                8.6e-05,                8.6e-05,                8.6e-05
                    119,                0.50964,                0.28857,                0.82571,                0.63183,                0.91045,                0.84966,                0.69484,                0.87284,                0.86307,                 1.0529,               6.95e-05,               6.95e-05,               6.95e-05
                    120,                0.49525,                0.27899,                0.83139,                0.63397,                0.90997,                0.85447,                0.69986,                0.87369,                0.86342,                 1.0486,                5.3e-05,                5.3e-05,                5.3e-05
